folder,vol_error_af,vol_error_pct,start_time,end_time,max_wse,max_depth,max_face_velocity,max_velocity,max_volume,max_flow_balance,max_wind_EventCond,max_prcp_EventCond,max_bc_flow_EventCond,max_bc_stage_EventCond,max_IC_elevation,unique_manning,unique_cell_infiltration_initial_deficit,unique_cell_infiltration_maximum_deficit,unique_cell_infiltration_pot_percolation_rate,unique_cell_impervious_pct_imper,max_cum_prcp
SS1462_PP276_SM5_BF1_SLR4,35635.31640625,0.5005028247833252,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.60083770751953,113.15707397460938,2.94,616295872.0,143471.71875,,,,,,262564,189185,248443,0,216314,
SS1462_PP273_SM3_BF1_SLR4,32777.875,0.46239328384399414,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.27217102050781,102.57344818115234,33978.07488281264,614048384.0,143629.8125,inf,0.8240255117416382,5910.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP269_SM3_BF1_SLR4,34380.95703125,0.48310792446136475,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.06726837158203,91.10599517822266,33917.5935937505,615525312.0,143353.125,inf,0.9789960384368896,9180.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP228_SM3_BF1_SLR4,35978.88671875,0.5019119381904602,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.03309631347656,91.93545532226562,33952.16285156255,615657664.0,143604.046875,inf,0.7846294641494751,8760.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP261_SM3_BF1_SLR4,32454.486328125,0.46205419301986694,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.34712982177734,106.6025390625,33992.62949218753,613221696.0,143304.765625,inf,0.4940022826194763,6990.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP306_SM4_BF1_SLR4,31229.466796875,0.438050240278244,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.27763366699219,141.13836669921875,3.55,614652992.0,143433.203125,,,,,,262648,204368,248520,0,216366,
SS1462_PP282_SM3_BF1_SLR4,38498.30078125,0.5362028479576111,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.28668212890625,91.09777069091797,33973.93097656254,614348992.0,143460.546875,inf,1.0173405408859253,5590.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP278_SM2_BF1_SLR4,36372.54296875,0.5123744010925293,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,28.19342803955078,106.61415100097656,6.35,611455104.0,143824.3125,,,,,,262566,218183,248375,1,216306,
SS1462_PP294_SM2_BF1_SLR4,28616.501953125,0.40165647864341736,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.45143127441406,91.10591888427734,33964.856992187575,617135680.0,143385.09375,inf,8.652312278747559,5760.0,6.366399765014648,21.670000076293945,262566,218184,248376,2,216306,
SS1462_PP313_SM2_BF1_SLR4,36038.0703125,0.4998073875904083,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.1720199584961,91.10465240478516,2.85,618658944.0,143642.796875,,,,,,262566,218183,248375,1,216306,
SS1462_PP308_SM3_BF1_SLR4,33333.8671875,0.4722708463668823,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.35044860839844,106.5984115600586,33973.60226562504,614076544.0,143654.453125,inf,0.967572033405304,5250.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP290_SM4_BF1_SLR4,34958.625,0.4888579547405243,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,18.44483184814453,141.13754272460938,33972.84925781268,613959040.0,143434.6875,inf,7.940527439117432,6740.0,6.366399765014648,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP297_SM2_BF1_SLR4,36752.65234375,0.517712414264679,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.36093139648438,106.60154724121094,2.98,614943040.0,143707.5,,,,,,262566,218183,248375,1,216306,
SS1462_PP262_SM5_BF1_SLR4,35396.328125,0.47947433590888977,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,58.226905822753906,129.44248962402344,33917.065078125,614902464.0,143542.40625,inf,8.780111312866211,7410.0,6.366399765014648,21.670000076293945,262564,189186,248444,1,216314,
SS1462_PP293_SM4_BF1_SLR4,35809.3125,0.49088430404663086,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.993408203125,91.93635559082031,33943.11222656269,616526208.0,143485.28125,inf,0.9219363331794739,11700.0,10.666666984558105,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP285_SM4_BF1_SLR4,35067.87109375,0.48546746373176575,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.28720092773438,91.10453796386719,33934.92816406255,616794816.0,143457.859375,inf,0.6297557353973389,9610.0,10.666666984558105,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP258_SM3_BF1_SLR4,33991.83203125,0.48133498430252075,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.02965545654297,91.93484497070312,33952.70437500017,614662464.0,143424.203125,inf,0.642155110836029,6740.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP311_SM4_BF1_SLR4,33419.3359375,0.4706575870513916,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.32351684570312,106.60221862792969,3.06,613706048.0,143541.015625,,,,,,262648,204368,248520,0,216366,
SS1462_PP200_SM4_BF1_SLR4,31202.7890625,0.44353753328323364,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.40217590332031,129.44189453125,33948.00011718767,613728832.0,143669.734375,inf,3.1942100524902344,6120.0,6.366399765014648,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP317_SM3_BF1_SLR4,33001.65234375,0.4693508744239807,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.27755737304688,129.44363403320312,3.36,614588224.0,143481.21875,,,,,,262648,211902,248520,1,216366,
SS1462_PP272_SM3_BF1_SLR4,35292.7734375,0.49704402685165405,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,61.149444580078125,129.44139099121094,33971.785390625046,616145408.0,143360.203125,inf,3.710318088531494,13600.0,6.366399765014648,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP328_SM3_BF1_SLR4,26964.583984375,0.3792242109775543,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.75135040283203,112.84080505371094,2.82,617761152.0,143624.09375,,,,,,262648,211902,248520,1,216366,
SS1462_PP319_SM5_BF1_SLR4,28300.34765625,0.39757707715034485,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.15894317626953,91.102294921875,2.98,615726016.0,143649.75,,,,,,262564,189185,248443,0,216314,
SS1462_PP225_SM4_BF1_SLR4,36216.2265625,0.5058296322822571,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.83381652832031,106.60005187988281,33940.461171875046,616142912.0,143484.546875,inf,0.9878292679786682,6050.0,10.666666984558105,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP318_SM5_BF1_SLR4,33001.21484375,0.46167415380477905,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.70567321777344,106.60014343261719,33951.755312500165,614696896.0,143407.84375,inf,5.705730438232422,11500.0,6.366399765014648,21.670000076293945,262564,189186,248444,1,216314,
SS1462_PP284_SM4_BF1_SLR4,35757.0078125,0.5040760040283203,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.97220611572266,91.10472106933594,33947.43425781254,615066816.0,143674.4375,inf,4.886966705322266,5350.0,6.366399765014648,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP274_SM3_BF1_SLR4,31982.1953125,0.45411139726638794,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,10.874408721923828,106.62281799316406,33992.77644531253,614084608.0,143518.46875,inf,0.5766220092773438,6360.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP310_SM3_BF1_SLR4,28497.966796875,0.4059560000896454,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.43049621582031,91.10601806640625,33978.003789062575,615515264.0,143310.796875,inf,4.036237716674805,5750.0,6.366399765014648,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP292_SM2_BF1_SLR4,32714.861328125,0.45938628911972046,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.41773986816406,91.10543823242188,2.81,619707840.0,143422.359375,,,,,,262566,218183,248375,1,216306,
SS1462_PP276_SM2_BF1_SLR4,34057.80078125,0.47942426800727844,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.40521240234375,113.15707397460938,33917.309843750234,615828480.0,143434.390625,inf,3.8439552783966064,14172.6298828125,6.366399765014648,21.670000076293945,262566,218184,248376,2,216306,
SS1462_PP257_SM3_BF1_SLR4,31309.5625,0.4430689215660095,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.73242950439453,113.17578125,33890.32617187501,617110272.0,143487.96875,inf,0.6100102066993713,5815.259765625,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP332_SM4_BF1_SLR4,35659.515625,0.49803125858306885,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.90685272216797,91.10249328613281,33973.289023437545,615897792.0,143386.4375,inf,0.5046874284744263,6790.0,10.666666984558105,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP296_SM3_BF1_SLR4,31746.232421875,0.4476111829280853,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,27.085805892944336,141.1383819580078,5.19,616318528.0,143495.765625,,,,,,262648,211902,248520,1,216366,
SS1462_PP314_SM3_BF1_SLR4,28817.923828125,0.3926239013671875,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.30845642089844,91.09923553466797,33977.98171875005,616702848.0,143573.75,inf,1.3528378009796143,8400.0,10.666666984558105,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP286_SM3_BF1_SLR4,34885.97265625,0.49904441833496094,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,32.8922119140625,129.44322204589844,33974.01218750003,612575808.0,143483.828125,inf,3.7735066413879395,4650.0,6.366399765014648,21.670000076293945,262648,211903,248521,2,216366,
SS1461_PP446_SM3_BF1_SLR4,53568.265625,0.5520777702331543,04Jul2000 01:00:00,16Jul2000 12:00:00,327.6592712402344,80.5051040649414,111.32295989990234,3.59,641263680.0,228745.546875,,,,,,262648,211902,248520,1,216366,
SS1462_PP287_SM1_BF1_SLR4,35504.77734375,0.48516833782196045,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.8946533203125,91.10562133789062,33978.08257812515,616713152.0,143504.96875,inf,1.314990758895874,4560.0,10.666666984558105,21.670000076293945,262608,226035,248471,1,216364,
SS1462_PP324_SM3_BF1_SLR4,28134.6171875,0.39453935623168945,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.31796264648438,91.10066986083984,2.86,617720192.0,143413.1875,,,,,,262648,211902,248520,1,216366,
SS1462_PP032_SM4_BF1_SLR4,36540.7890625,0.5044107437133789,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,20.00159454345703,141.13829040527344,33984.10328125002,614061184.0,143433.1875,inf,7.361673831939697,4810.0,6.366399765014648,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP309_SM4_BF1_SLR4,33226.9140625,0.4700334370136261,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,21.219528198242188,129.442626953125,6.57,614841152.0,143491.765625,,,,,,262648,204368,248520,0,216366,
SS1462_PP030_SM5_BF1_SLR4,33571.58203125,0.4590061902999878,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.72139739990234,91.10491943359375,33928.00199218751,617746496.0,143476.3125,inf,0.8774263262748718,6500.0,10.666666984558105,21.670000076293945,262564,189186,248444,1,216314,
SS1462_PP320_SM3_BF1_SLR4,38228.953125,0.5350648164749146,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.7617416381836,129.4424285888672,33914.79187500008,617461568.0,143258.734375,inf,9.219968795776367,6340.0,6.366399765014648,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP307_SM2_BF1_SLR4,38259.046875,0.5355064868927002,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,79.2943115234375,106.60289001464844,2.89,615082496.0,143471.921875,,,,,,262566,218183,248375,1,216306,
SS1461_PP320_SM3_BF1_SLR4,44956.52734375,0.475629597902298,04Jul2000 01:00:00,16Jul2000 12:00:00,327.6592712402344,79.31865692138672,129.44329833984375,42382.67300781259,632111552.0,228378.875,inf,0.5529502630233765,7110.0,12.458333015441895,21.670000076293945,262648,211903,248521,2,216366,
SS1462_PP340_SM4_BF1_SLR4,34048.5234375,0.4574330449104309,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.20764923095703,82.530517578125,33969.17011718756,621691968.0,148008.203125,inf,7.52541446685791,17900.0,6.366399765014648,21.670000076293945,262648,204369,248521,1,216366,
SS1462_PP337_SM4_BF1_SLR4,45499.5546875,0.6421375870704651,05Jul2000 08:00:00,16Jul2000 00:00:00,327.6592712402344,80.57022094726562,106.60265350341797,33967.191171875056,615522048.0,143417.578125,inf,0.5578107237815857,5410.0,10.666666984558105,21.670000076293945,262648,204369,248521,1,216366,
