folder,vol_error_af,vol_error_pct,start_time,end_time,max_wse,max_depth,max_face_velocity,max_velocity,max_volume,max_flow_balance,max_wind_EventCond,max_prcp_EventCond,max_bc_flow_EventCond,max_bc_stage_EventCond,max_IC_elevation,unique_manning,unique_cell_infiltration_initial_deficit,unique_cell_infiltration_maximum_deficit,unique_cell_infiltration_pot_percolation_rate,unique_cell_impervious_pct_imper
SS0990_PP461_SM3_BF1_SLR1,39881.4140625,0.4925327003002167,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,79.27867889404297,91.11614227294922,39805.86457031251,585575936.0,260709.921875,47.44214630126953,9.386980056762695,6690.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0990_PP486_SM4_BF1_SLR1,38182.23046875,0.4638192355632782,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.61040496826172,91.1136703491211,39753.11296875002,590500096.0,265658.625,47.44214630126953,10.635261535644531,5430.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0990_PP218_SM4_BF1_SLR1,38616.55078125,0.457806259393692,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,81.20307922363281,91.08360290527344,39760.86433593753,589469888.0,262885.75,47.44214630126953,19.864118576049805,6450.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0990_PP364_SM4_BF1_SLR1,37788.6875,0.4446914494037628,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,79.84020233154297,129.44325256347656,39781.39238281256,589759168.0,267156.65625,47.44214630126953,14.438886642456055,4860.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0990_PP479_SM3_BF1_SLR1,34651.1640625,0.4120371639728546,03Jul2000 01:00:00,17Jul2000 00:00:00,328.99755859375,81.17716979980469,55.86798095703125,39899.89242187504,596062912.0,262645.59375,47.44214630126953,16.68779945373535,8790.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0990_PP370_SM3_BF1_SLR1,40294.7734375,0.4955836832523346,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,79.908203125,129.44371032714844,39779.80445312501,588336576.0,267110.71875,47.44214630126953,6.2493181228637695,7410.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0990_PP460_SM2_BF1_SLR1,39954.859375,0.48368003964424133,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.1923599243164,91.1156234741211,39969.23875000012,587482496.0,265593.125,47.44214630126953,9.435995101928711,11200.0,6.473700046539307,21.670000076293945,262566,218184,248376,2,216306
SS0990_PP474_SM4_BF1_SLR1,37288.52734375,0.4259515702724457,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,81.16682434082031,91.11911010742188,39812.41117187511,590293952.0,267854.15625,47.44214630126953,11.153892517089844,5600.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0990_PP475_SM4_BF1_SLR1,39902.19140625,0.4817850887775421,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.74967956542969,91.11767578125,39760.88191406254,587469824.0,266645.4375,47.44214630126953,8.355646133422852,7050.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0990_PP388_SM3_BF1_SLR1,39525.68359375,0.4791508615016937,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,81.05257415771484,106.60216522216797,39733.3831640626,588052288.0,266368.25,47.44214630126953,12.726856231689453,7390.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0990_PP488_SM4_BF1_SLR1,37214.18359375,0.4475090503692627,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,26.384918212890625,141.13790893554688,39845.26746093755,585696128.0,257420.78125,47.44214630126953,8.440999031066895,8530.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0990_PP435_SM2_BF1_SLR1,36846.06640625,0.4345096945762634,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,81.31652069091797,91.08223724365234,39781.41894531259,592777984.0,267245.09375,47.44214630126953,12.347309112548828,13400.0,6.473700046539307,21.670000076293945,262566,218184,248376,2,216306
SS0990_PP489_SM2_BF1_SLR1,39537.55078125,0.48174139857292175,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.47738647460938,91.9346694946289,39874.57562500024,587910784.0,265465.96875,47.44214630126953,7.636451721191406,8320.0,6.473700046539307,21.670000076293945,262566,218184,248376,2,216306
SS0990_PP460_SM5_BF1_SLR1,39321.2578125,0.48089155554771423,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.46044921875,91.1156234741211,39800.505078125025,585631232.0,265698.6875,47.44214630126953,9.435995101928711,5330.0,6.473700046539307,21.670000076293945,262564,189186,248444,1,216314
SS0990_PP497_SM1_BF1_SLR1,39044.6953125,0.4800809919834137,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.67123413085938,91.11702728271484,39876.93847656272,587328960.0,265431.96875,47.44214630126953,8.30938720703125,6960.0,6.473700046539307,21.670000076293945,262608,226035,248471,1,216364
SS0990_PP432_SM3_BF1_SLR1,37810.8671875,0.4617674946784973,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.66329193115234,93.31139373779297,39800.55597656257,588040320.0,267060.59375,47.44214630126953,6.708953857421875,6680.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0990_PP459_SM5_BF1_SLR1,37644.5859375,0.42632967233657837,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,79.27088928222656,91.11295318603516,39905.32144531253,586812032.0,261331.484375,47.44214630126953,13.055840492248535,6290.0,6.473700046539307,21.670000076293945,262564,189186,248444,1,216314
SS0990_PP483_SM3_BF1_SLR1,39588.80078125,0.46982336044311523,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.74036407470703,91.11908721923828,39818.40753906256,588023040.0,265862.5625,47.44214630126953,14.50956916809082,7110.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0993_PP445_SM3_BF1_SLR1,81891.671875,0.4483596384525299,03Jul2000 01:00:00,17Jul2000 00:00:00,329.2337646484375,82.4945297241211,74.15260314941406,47889.09808593777,970256384.0,324291.21875,107.18125915527344,72.04991912841797,6730.0,8.044699668884277,21.670000076293945,262648,211903,248521,2,216366
SS0990_PP492_SM3_BF1_SLR1,38048.3984375,0.45369112491607666,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,79.29381561279297,106.60018157958984,39901.61667968756,589877504.0,265833.5,47.44214630126953,10.958251953125,12800.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0996_PP132_SM2_BF1_SLR1,35600.16015625,0.5418079495429993,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.99154663085938,91.12073516845703,32269.94406250021,580320896.0,151197.65625,89.87382507324219,4.118698596954346,5940.0,5.309000015258789,21.670000076293945,262566,218184,248376,2,216306
SS0990_PP478_SM4_BF1_SLR1,36868.6796875,0.4331466853618622,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,81.06509399414062,91.93641662597656,39817.91351562553,589955584.0,266198.5625,47.44214630126953,11.041369438171387,13800.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0990_PP454_SM4_BF1_SLR1,37540.57421875,0.4521859884262085,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.74890899658203,91.1163330078125,39781.51960937518,590284288.0,266851.40625,47.44214630126953,8.722639083862305,8590.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0990_PP494_SM3_BF1_SLR1,36478.76171875,0.44813257455825806,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,79.27655029296875,141.13790893554688,39899.93460937508,586764096.0,262590.5625,47.44214630126953,6.1200642585754395,9930.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0990_PP482_SM2_BF1_SLR1,37884.1484375,0.4600428640842438,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,14.05630874633789,129.44410705566406,39899.86203125001,588915072.0,264443.25,47.44214630126953,9.034313201904297,10200.0,6.473700046539307,21.670000076293945,262566,218184,248376,2,216306
SS0996_PP032_SM2_BF1_SLR1,36975.3984375,0.5650937557220459,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,18.75029945373535,129.44317626953125,32266.810058593823,579847360.0,150659.890625,89.87382507324219,5.8619608879089355,5440.0,5.309000015258789,21.670000076293945,262566,218184,248376,2,216306
SS0996_PP093_SM1_BF1_SLR1,36429.515625,0.549422025680542,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.72695922851562,91.11697387695312,32356.132421875252,584048768.0,148352.5,89.87382507324219,4.286837100982666,7460.0,5.309000015258789,21.670000076293945,262608,226035,248471,1,216364
SS0996_PP128_SM3_BF1_SLR1,37658.734375,0.5692285895347595,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,20.242652893066406,141.13795471191406,32261.619980468797,578427840.0,152175.390625,89.87382507324219,9.373921394348145,4560.0,5.309000015258789,21.670000076293945,262648,211903,248521,2,216366
SS0990_PP476_SM2_BF1_SLR1,40060.68359375,0.4863218367099762,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,57.65032958984375,141.13819885253906,39836.82085937509,585835200.0,262354.4375,47.44214630126953,11.313129425048828,6170.0,6.473700046539307,21.670000076293945,262566,218184,248376,2,216306
SS0990_PP467_SM3_BF1_SLR1,37797.40625,0.462934672832489,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,80.82369232177734,91.1174087524414,39760.88164062504,588652224.0,266028.96875,47.44214630126953,9.829466819763184,5010.0,6.473700046539307,21.670000076293945,262648,211903,248521,2,216366
SS0996_PP374_SM3_BF1_SLR1,37032.8984375,0.5676199793815613,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.35029602050781,106.59930419921875,32276.25275390667,580886976.0,149083.375,89.87382507324219,4.213679313659668,3910.0,5.309000015258789,21.670000076293945,262648,211903,248521,2,216366
SS0996_PP300_SM5_BF1_SLR1,37153.7421875,0.5690047740936279,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,22.877763748168945,110.38558959960938,32266.819277343835,579002176.0,150470.65625,89.87382507324219,2.722480535507202,5610.0,5.309000015258789,21.670000076293945,262564,189186,248444,1,216314
SS0996_PP173_SM2_BF1_SLR1,29059.685546875,0.443755179643631,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.34799194335938,106.59803009033203,32225.948144531514,581665344.0,147835.921875,89.87382507324219,2.6314857006073,6360.0,5.309000015258789,21.670000076293945,262566,218184,248376,2,216306
SS0996_PP273_SM1_BF1_SLR1,36734.2890625,0.56315678358078,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,13.750167846679688,106.59901428222656,32275.983710937668,579818560.0,150153.140625,89.87382507324219,1.470649003982544,5820.0,5.309000015258789,21.670000076293945,262608,226035,248471,1,216364
SS0996_PP267_SM2_BF1_SLR1,35111.57421875,0.5285555124282837,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.46698760986328,112.62609100341797,32323.76818359377,581843904.0,147331.609375,89.87382507324219,2.108208656311035,10700.0,5.309000015258789,21.670000076293945,262566,218184,248376,2,216306
SS0996_PP094_SM1_BF1_SLR1,37488.5859375,0.5676916241645813,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.49417114257812,106.5982894897461,32253.615175781317,581555072.0,148848.328125,89.87382507324219,6.330568313598633,7110.0,5.309000015258789,21.670000076293945,262608,226035,248471,1,216364
SS0990_PP496_SM4_BF1_SLR1,38988.96875,0.4750615656375885,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,18.429027557373047,106.60081481933594,39859.88453125009,585894336.0,255593.234375,47.44214630126953,8.426048278808594,7160.0,6.473700046539307,21.670000076293945,262648,204369,248521,1,216366
SS0996_PP180_SM2_BF1_SLR1,37477.890625,0.5673388242721558,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,38.12653350830078,106.59831237792969,32256.28894531251,578950848.0,151463.859375,89.87382507324219,7.8142876625061035,6740.0,5.309000015258789,21.670000076293945,262566,218184,248376,2,216306
SS0996_PP329_SM4_BF1_SLR1,35176.421875,0.536382257938385,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.30735778808594,141.13784790039062,32266.734570312503,580767168.0,150798.515625,89.87382507324219,5.8719587326049805,5160.0,5.309000015258789,21.670000076293945,262648,204369,248521,1,216366
SS0996_PP179_SM1_BF1_SLR1,37366.2734375,0.5698199272155762,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,39.579856872558594,141.13800048828125,32266.821210937585,579730752.0,150946.09375,89.87382507324219,3.700313091278076,6230.0,5.309000015258789,21.670000076293945,262608,226035,248471,1,216364
SS0996_PP323_SM3_BF1_SLR1,37754.828125,0.5740660429000854,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.9967041015625,91.11805725097656,32311.845546875033,580769472.0,150676.828125,89.87382507324219,5.646092891693115,5630.0,5.309000015258789,21.670000076293945,262648,211903,248521,2,216366
SS0996_PP171_SM2_BF1_SLR1,38085.0625,0.5818334221839905,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.91716003417969,129.44320678710938,32270.997773437546,579818944.0,151387.296875,89.87382507324219,4.511573314666748,5950.0,5.309000015258789,21.670000076293945,262566,218184,248376,2,216306
SS0996_PP424_SM4_BF1_SLR1,37103.78515625,0.5627343654632568,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,43.306907653808594,141.13795471191406,32266.76423828128,578950272.0,152400.0,89.87382507324219,4.9504075050354,6360.0,5.309000015258789,21.670000076293945,262648,204369,248521,1,216366
SS0996_PP142_SM3_BF1_SLR1,36789.953125,0.5637319087982178,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,23.59290313720703,141.13807678222656,32277.83585937503,578100160.0,152424.203125,89.87382507324219,2.791466474533081,4680.0,5.309000015258789,21.670000076293945,262648,211903,248521,2,216366
SS0996_PP376_SM2_BF1_SLR1,37123.3359375,0.5686519742012024,05Jul2000 01:00:00,16Jul2000 06:00:00,327.6592712402344,79.35128784179688,106.59784698486328,32201.639707031634,578615168.0,152197.296875,89.87382507324219,3.377049207687378,4440.0,5.309000015258789,21.670000076293945,262566,218184,248376,2,216306
SS0997_PP001_SM2_BF1_SLR1,43679.00390625,0.4366067945957184,02Jul2000 01:00:00,17Jul2000 12:00:00,327.6592712402344,80.40618133544922,141.13795471191406,45629.697382812534,583390784.0,247785.5,46.78413391113281,10.425121307373047,5620.0,6.284999847412109,21.670000076293945,262566,218184,248376,2,216306
SS0990_PP487_SM2_BF1_SLR1,39573.1875,0.4875342845916748,03Jul2000 01:00:00,17Jul2000 00:00:00,327.6592712402344,79.4258804321289,91.11495971679688,39780.15250000001,588790400.0,265039.25,47.44214630126953,11.514333724975586,6870.0,6.473700046539307,21.670000076293945,262566,218184,248376,2,216306
