Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0485_PP075_SM1_BF1_SLR4,SUCCESS,20.420833333333334,336,,39994.,0.2619,0.46,Feb 13 06:15,Feb 14 02:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP112_SM2_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:12,N/A,,,,,,,,,,
SS0485_PP120_SM2_BF1_SLR4,SUCCESS,20.93277777777778,336,,40059.,0.2624,1.08,Feb 13 06:19,Feb 14 03:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP133_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0485_PP174_SM1_BF1_SLR4,SUCCESS,20.50583333333333,336,,39636.,0.2595,0.42,Feb 07 18:39,Feb 08 15:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP185_SM1_BF1_SLR4,SUCCESS,18.72222222222222,304,,39136.,0.2566,0.47,Feb 07 18:38,Feb 08 13:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP190_SM3_BF1_SLR4,SUCCESS,20.035833333333336,336,,38859.,0.2545,0.92,Feb 07 18:37,Feb 08 14:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP196_SM3_BF1_SLR4,SUCCESS,22.418055555555558,368,,39234.,0.2571,0.66,Feb 11 22:33,Feb 12 20:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP201_SM3_BF1_SLR4,SUCCESS,21.177500000000002,352,,39605.,0.2573,1.18,Feb 07 18:37,Feb 08 15:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP221_SM2_BF1_SLR4,SUCCESS,21.920555555555556,352,,38833.,0.2542,1.10,Feb 11 20:43,Feb 12 18:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP228_SM1_BF1_SLR4,SUCCESS,20.425555555555558,336,,39246.,0.2560,0.66,Feb 07 18:39,Feb 08 15:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP232_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 13 05:06,N/A,,,,,,,,,,
SS0485_PP255_SM3_BF1_SLR4,SUCCESS,21.579444444444444,352,,39053.,0.2551,0.66,Feb 13 06:14,Feb 14 03:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP263_SM2_BF1_SLR4,SUCCESS,23.861666666666668,384,,38990.,0.2550,0.83,Feb 11 20:37,Feb 12 20:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP274_SM4_BF1_SLR4,SUCCESS,22.144166666666667,368,,39512.,0.2575,1.26,Feb 07 18:39,Feb 08 16:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP293_SM3_BF1_SLR4,SUCCESS,21.95888888888889,352,,39707.,0.2598,0.58,Feb 07 18:50,Feb 08 16:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP313_SM3_BF1_SLR4,SUCCESS,21.428611111111113,352,,38933.,0.2552,0.47,Feb 13 06:12,Feb 14 03:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP329_SM1_BF1_SLR4,SUCCESS,23.205277777777777,384,,39702.,0.2586,1.15,Feb 11 22:31,Feb 12 21:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP344_SM2_BF1_SLR4,SUCCESS,18.3325,304,,39806.,0.2605,0.74,Feb 07 18:41,Feb 08 13:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP377_SM1_BF1_SLR4,SUCCESS,24.690555555555555,400,,39619.,0.2602,0.66,Feb 11 21:06,Feb 12 21:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP381_SM1_BF1_SLR4,SUCCESS,22.483611111111113,368,,39397.,0.2572,1.95,Feb 13 06:17,Feb 14 04:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP388_SM1_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0485_PP404_SM2_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0485_PP407_SM1_BF1_SLR4,SUCCESS,20.36722222222222,336,,39670.,0.2595,0.64,Feb 07 18:35,Feb 08 14:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP436_SM3_BF1_SLR4,SUCCESS,22.0125,368,,39274.,0.2568,0.65,Feb 13 06:18,Feb 14 04:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP437_SM1_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0485_PP442_SM4_BF1_SLR4,SUCCESS,21.098333333333333,352,,40071.,0.2605,0.68,Feb 11 21:42,Feb 12 18:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0485_PP483_SM5_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:14,N/A,,,,,,,,,,
SS0485_PP494_SM2_BF1_SLR4,SUCCESS,25.67138888888889,416,,38857.,0.2541,2.57,Feb 11 21:44,Feb 12 23:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP013_SM2_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0486_PP029_SM3_BF1_SLR4,SUCCESS,12.234444444444444,208,,27816.,0.2617,0.77,Feb 11 21:43,Feb 12 09:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP043_SM4_BF1_SLR4,SUCCESS,13.160833333333334,224,,27705.,0.2621,0.77,Feb 11 21:41,Feb 12 10:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP052_SM2_BF1_SLR4,SUCCESS,15.36361111111111,256,,27722.,0.2620,0.71,Feb 13 05:29,Feb 13 20:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP068_SM3_BF1_SLR4,SUCCESS,14.598611111111111,240,,27730.,0.2616,1.18,Feb 13 05:26,Feb 13 20:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP070_SM1_BF1_SLR4,SUCCESS,18.676944444444445,304,,27888.,0.2628,0.79,Feb 11 21:12,Feb 12 15:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP089_SM2_BF1_SLR4,SUCCESS,13.001388888888888,224,,27725.,0.2622,0.79,Feb 13 05:25,Feb 13 18:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP139_SM2_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0486_PP146_SM1_BF1_SLR4,SUCCESS,13.710833333333333,224,,27777.,0.2626,0.78,Feb 13 05:25,Feb 13 19:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP151_SM2_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0486_PP163_SM2_BF1_SLR4,SUCCESS,12.455277777777777,208,,27840.,0.2631,0.78,Feb 07 17:48,Feb 08 06:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP195_SM3_BF1_SLR4,SUCCESS,12.4575,208,,27706.,0.2609,0.95,Feb 07 17:48,Feb 08 06:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP200_SM3_BF1_SLR4,SUCCESS,13.317499999999999,224,,27596.,0.2610,1.69,Feb 07 17:48,Feb 08 07:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP202_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0486_PP213_SM1_BF1_SLR4,SUCCESS,16.951944444444443,272,,27669.,0.2615,0.57,Feb 11 21:43,Feb 12 14:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP215_SM1_BF1_SLR4,SUCCESS,13.855555555555556,224,,27737.,0.2619,0.78,Feb 13 05:24,Feb 13 19:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP227_SM1_BF1_SLR4,SUCCESS,12.595,208,,27700.,0.2618,0.86,Feb 13 05:24,Feb 13 17:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP228_SM1_BF1_SLR4,SUCCESS,13.4,224,,27844.,0.2627,0.61,Feb 13 05:26,Feb 13 18:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP259_SM5_BF1_SLR4,SUCCESS,13.373611111111112,224,,27587.,0.2597,0.57,Feb 07 17:49,Feb 08 07:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP267_SM2_BF1_SLR4,SUCCESS,14.265277777777778,240,,27534.,0.2592,0.50,Feb 13 05:26,Feb 13 19:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0486_PP268_SM2_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
