Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
S1598,SUCCESS,11.383055555555556,48,,19778.,0.2737,2.90,Jul 23 17:26,Jul 24 04:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1599,SUCCESS,10.11888888888889,44,,21644.,0.3098,1.01,Mar 15 18:22,Mar 16 04:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1600,SUCCESS,11.188333333333334,48,,22998.,0.2834,1.16,Mar 15 18:26,Mar 16 05:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1601,SUCCESS,7.037222222222222,32,,16426.,0.2403,3.46,Jul 23 17:24,Jul 24 00:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1602,SUCCESS,4.570833333333333,20,,10679.,0.2078,1.24,Jul 23 17:23,Jul 23 21:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1603,SUCCESS,3.6680555555555556,16,,8431.,0.1867,0.33,Jul 23 17:22,Jul 23 21:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1604,SUCCESS,6.238333333333333,28,,16857.,0.2859,0.10,Jul 23 17:25,Jul 23 23:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1605,SUCCESS,10.391388888888889,44,,22479.,0.2889,2.84,Mar 15 18:24,Mar 16 04:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1606,SUCCESS,7.186944444444444,32,,19176.,0.2786,1.44,Jul 23 17:24,Jul 24 00:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1607,SUCCESS,7.098333333333333,32,,17910.,0.2541,0.43,Jul 23 17:25,Jul 24 00:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1608,SUCCESS,11.23611111111111,48,,17966.,0.2488,1.25,Jul 23 17:25,Jul 24 04:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1609,SUCCESS,8.886111111111111,36,,14619.,0.2199,1.06,Jul 23 17:23,Jul 24 02:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1610,SUCCESS,10.955555555555556,44,,18596.,0.2652,0.24,Jul 23 17:26,Jul 24 04:23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1611,SUCCESS,7.185277777777778,32,,16904.,0.2578,2.92,Jul 23 17:28,Jul 24 00:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1612,SUCCESS,5.294722222222222,24,,9183.,0.1863,0.13,Jul 23 17:25,Jul 23 22:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1613,SUCCESS,8.48611111111111,36,,19854.,0.3043,0.87,Jul 23 17:27,Jul 24 01:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1614,SUCCESS,10.081666666666667,44,,28110.,0.3828,2.98,Jul 23 17:31,Jul 24 03:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1615,SUCCESS,10.110555555555555,44,,22418.,0.2869,0.88,Jul 23 17:31,Jul 24 03:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1616,SUCCESS,9.328055555555554,40,,20726.,0.2654,2.70,Jul 23 17:28,Jul 24 02:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1617,SUCCESS,9.589722222222223,40,,19479.,0.2868,1.49,Jul 23 17:29,Jul 24 03:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1618,SUCCESS,6.473055555555556,28,,12316.,0.2400,0.18,Jul 23 17:26,Jul 23 23:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1619,SUCCESS,10.255555555555556,44,,16154.,0.2293,3.68,Jul 23 17:27,Jul 24 03:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S1620,SUCCESS,9.376944444444446,40,,20633.,0.2914,1.31,Mar 15 18:22,Mar 16 03:45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
