Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0997_PP461_SM4_BF1_Base,SUCCESS,20.0,80.0,,41442.0,0.3514,0.83,Jan  7 12:53,Jan  8 08:01,,,,,,,,,,
SS0997_PP446_SM4_BF1_Base,SUCCESS,21.0,84.0,,42961.0,0.3675,2.24,Jan 11 19:33,Jan 12 16:29,,,,,,,,,,
SS0997_PP459_SM5_BF1_Base,SUCCESS,20.0,80.0,,42895.0,0.3605,1.37,Jan  8 14:25,Jan  9 10:02,,,,,,,,,,
SS0997_PP479_SM4_BF1_Base,SUCCESS,21.0,84.0,,42776.0,0.3625,3.23,Jan 13 23:09,Jan 14 19:58,,,,,,,,,,
SS0997_PP467_SM3_BF1_Base,SUCCESS,20.0,80.0,,40393.0,0.348,1.45,Jan  7 12:52,Jan  8 08:29,,,,,,,,,,
SS0997_PP456_SM3_BF1_Base,SUCCESS,20.0,80.0,,43513.0,0.3704,2.77,Jan  7 12:52,Jan  8 07:53,,,,,,,,,,
SS0997_PP453_SM4_BF1_Base,SUCCESS,18.0,72.0,,40894.0,0.3521,0.87,Jan  1 01:27,Jan  1 19:22,,,,,,,,,,
SS0997_PP458_SM4_BF1_Base,SUCCESS,21.0,84.0,,42396.0,0.3567,1.39,Jan  8 14:29,Jan  9 10:36,,,,,,,,,,
SS0997_PP468_SM3_BF1_Base,SUCCESS,20.0,80.0,,40488.0,0.3541,1.33,Jan 10 17:32,Jan 11 13:15,,,,,,,,,,
SS0997_PP467_SM5_BF1_Base,SUCCESS,20.0,80.0,,41279.0,0.3495,0.78,Jan 13 22:46,Jan 14 18:41,,,,,,,,,,
SS0997_PP473_SM2_BF1_Base,SUCCESS,20.0,80.0,,42436.0,0.3655,2.91,Jan  6 17:32,Jan  7 13:27,,,,,,,,,,
SS0997_PP473_SM5_BF1_Base,SUCCESS,20.0,80.0,,42962.0,0.3692,3.03,Jan  7 12:50,Jan  8 08:41,,,,,,,,,,
SS0997_PP449_SM2_BF1_Base,SUCCESS,21.0,84.0,,55308.0,0.474,2.77,Jan  7 12:52,Jan  8 09:10,,,,,,,,,,
SS0997_PP466_SM3_BF1_Base,SUCCESS,19.0,76.0,,44301.0,0.3857,0.84,Dec 31 05:56,Jan  1 00:21,,,,,,,,,,
SS0997_PP462_SM3_BF1_Base,SUCCESS,21.0,84.0,,42496.0,0.3613,2.89,Jan 10 18:13,Jan 11 14:40,,,,,,,,,,
SS0997_PP476_SM4_BF1_Base,SUCCESS,20.0,80.0,,40240.0,0.3334,2.23,Jan  9 13:17,Jan 10 08:42,,,,,,,,,,
SS0997_PP469_SM3_BF1_Base,SUCCESS,20.0,80.0,,44031.0,0.3732,2.57,Jan 13 23:11,Jan 14 18:57,,,,,,,,,,
SS0997_PP464_SM3_BF1_Base,SUCCESS,20.0,80.0,,40597.0,0.3529,0.87,Jan 10 17:31,Jan 11 13:13,,,,,,,,,,
SS0997_PP463_SM2_BF1_Base,SUCCESS,20.0,80.0,,45369.0,0.3921,0.54,Jan  8 14:28,Jan  9 09:49,,,,,,,,,,
SS0997_PP478_SM5_BF1_Base,SUCCESS,20.0,80.0,,43407.0,0.3669,0.81,Dec 30 16:10,Dec 31 11:49,,,,,,,,,,
SS0997_PP471_SM3_BF1_Base,SUCCESS,20.0,80.0,,41019.0,0.3555,1.08,Jan  7 12:50,Jan  8 08:05,,,,,,,,,,
