Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
clean_SS0990_PP059_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP179_SM3_BF1_Base,Success,17h 58m 46s,54,,37697.,0.3830,3.20,Dec 31 06:34,Jan 01 00:32,,327.66,80.94,45.54,572432128.0,138505.69,N/A,N/A,N/A,9.16
clean_SS0989_PP228_SM1_BF1_Base,Success,16h 53m 49s,51,,41742.,0.4242,2.16,Dec 31 15:13,Jan 01 08:07,,327.66,80.52,47.48,572432128.0,138505.81,N/A,N/A,N/A,9.66
clean_SS0990_PP062_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP330_SM2_BF1_Base,Success,17h 23m 22s,54,,40935.,0.4241,1.08,Dec 31 11:48,Jan 01 05:11,,327.66,79.46,109.94,572432128.0,159079.88,N/A,N/A,N/A,6.25
clean_SS0989_PP409_SM1_BF1_Base,Success,16h 29m 22s,51,,42633.,0.4376,0.72,Dec 31 11:27,Jan 01 03:57,,327.66,30.21,70.57,572432128.0,160047.81,N/A,N/A,N/A,6.54
clean_SS0990_PP082_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP359_SM2_BF1_Base,Success,18h 7m 22s,57,,41242.,0.4003,3.23,Dec 30 16:22,Dec 31 10:29,,328.59,81.33,47.99,572432128.0,135201.48,N/A,N/A,N/A,17.71
clean_SS0990_PP092_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0989_PP429_SM2_BF1_Base,Success,19h 20m 45s,60,,41461.,0.4267,0.90,Jan 01 07:25,Jan 02 02:45,,327.66,79.32,109.92,572432128.0,147606.14,N/A,N/A,N/A,3.69
