Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft)
S1247,Success,8h 8m 40s,27,,15250.0,0.2859,0.63,Jul 23 16:55,Jul 24 01:03,,327.66,6.06,5.69,575226816.0,138201.28,221.75,0.37,8.24
S1249,Success,9h 13m 12s,30,,17013.0,0.2891,0.15,Jul 23 16:57,Jul 24 02:10,,327.66,6.04,7.12,570813760.0,169366.77,142.41,0.27,8.24
S1243,Success,6h 34m 7s,21,,16952.0,0.2711,0.14,Jul 23 16:57,Jul 23 23:31,,327.66,9.02,6.7,561024832.0,165210.59,118.38,0.29,8.24
S1067,Success,7h 9m 20s,24,,20060.0,0.3221,0.19,Jul 23 17:01,Jul 24 00:10,,327.66,5.74,5.49,574527424.0,123891.9,33.12,0.36,8.24
S1253,Success,5h 11m 28s,18,,12529.0,0.2396,0.12,Jul 23 16:54,Jul 23 22:05,,327.66,5.66,5.62,571028672.0,152899.81,61.77,0.23,8.24
S1248,Success,12h 24m 15s,39,,24802.0,0.3189,0.37,Jul 23 17:01,Jul 24 05:25,,327.66,9.01,8.02,602293056.0,280895.38,188.48,0.54,8.24
S1255,Success,6h 36m 29s,21,,17851.0,0.2932,0.17,Jul 23 16:57,Jul 23 23:34,,327.66,7.31,6.41,573314880.0,162213.09,135.03,0.43,8.24
S1261,Success,7h 14m 15s,24,,16998.0,0.2878,0.14,Jul 23 17:01,Jul 24 00:15,,327.66,5.66,6.12,572108608.0,161956.25,40.72,0.25,8.24
S1257,Success,5h 56m 47s,18,,14252.0,0.2762,0.18,Jul 23 17:00,Jul 23 22:57,,327.66,5.87,6.02,565543168.0,168323.25,133.24,0.36,8.24
S1251,Success,7h 18m 51s,24,,17876.0,0.2585,0.64,Jul 23 16:58,Jul 24 00:17,,327.66,6.27,6.83,579558592.0,198697.69,104.18,0.4,8.24
S1258,Success,7h 22m 48s,24,,14741.0,0.2369,0.19,Jul 23 17:01,Jul 24 00:24,,327.66,10.23,7.25,575943296.0,174832.2,117.65,0.63,8.24
S1265,Success,8h 1m 7s,27,,13393.0,0.2241,1.07,Jul 23 16:58,Jul 24 00:59,,327.66,7.19,6.84,579962944.0,171168.98,109.14,0.37,8.24
S1269,Success,4h 53m 0s,15,,9312.0,0.2033,0.15,Jul 23 16:58,Jul 23 21:51,,327.66,5.75,5.58,574705088.0,153534.81,51.27,0.22,8.24
S1254,Success,8h 40m 46s,27,,28579.0,0.3534,1.54,Jul 23 17:02,Jul 24 01:43,,327.66,10.48,8.79,603841984.0,229240.23,176.54,0.75,8.24
S1263,Success,7h 53m 29s,24,,20963.0,0.3143,0.21,Jul 23 17:01,Jul 24 00:55,,327.66,8.15,7.21,582321472.0,198119.88,128.35,0.59,8.24
S1256,Success,8h 26m 51s,27,,24460.0,0.3227,2.19,Jul 23 17:03,Jul 24 01:30,,327.66,14.13,11.52,595767808.0,216072.56,168.11,0.58,11.55
S1264,Success,5h 58m 3s,18,,14349.0,0.2475,0.17,Jul 23 16:58,Jul 23 22:56,,327.66,8.32,6.94,581399296.0,175172.86,121.0,0.77,8.24
S1267,Success,8h 23m 16s,27,,17175.0,0.2824,0.11,Jul 23 17:00,Jul 24 01:24,,327.66,5.78,5.73,574707968.0,162123.48,83.91,0.35,8.24
S1259,Success,9h 37m 17s,30,,21253.0,0.3112,0.17,Jul 23 17:04,Jul 24 02:41,,327.66,6.44,5.91,582514112.0,145747.03,89.11,0.66,8.24
S1262,Success,9h 17m 38s,30,,21639.0,0.2867,2.47,Jul 23 17:04,Jul 24 02:22,,327.66,14.13,11.53,595813632.0,218949.3,89.34,0.58,11.55
S1260,Success,9h 33m 9s,30,,20108.0,0.303,0.16,Jul 23 17:03,Jul 24 02:36,,327.66,7.87,7.06,563524864.0,177813.8,63.79,0.26,8.24
S1273,Success,7h 27m 52s,24,,14060.0,0.2247,0.17,Jul 23 16:59,Jul 24 00:27,,327.66,8.34,15.17,567245504.0,178833.05,124.36,0.44,8.24
S1274,Success,5h 23m 19s,18,,9651.0,0.1745,0.16,Jul 23 16:58,Jul 23 22:21,,327.66,10.58,8.03,574962624.0,177523.53,119.16,0.73,8.24
S1276,Success,8h 40m 23s,27,,16988.0,0.2606,0.12,Jul 23 17:00,Jul 24 01:40,,327.66,7.68,6.66,574882624.0,164570.14,79.71,0.35,8.24
S1277,Success,6h 38m 13s,21,,16802.0,0.3038,0.06,Jul 23 17:04,Jul 23 23:43,,327.66,5.49,5.5,570246656.0,128748.38,52.65,0.18,8.24
S1266,Success,10h 21m 17s,33,,21488.0,0.2934,0.16,Jul 23 17:03,Jul 24 03:25,,327.66,6.27,5.8,580687808.0,140654.95,89.42,0.83,8.24
S1268,Success,10h 38m 58s,33,,20195.0,0.274,0.22,Jul 23 17:03,Jul 24 03:42,,327.66,7.91,7.48,566781632.0,191273.88,68.54,0.31,8.24
S1280,Success,8h 42m 58s,27,,17684.0,0.2862,0.13,Jul 23 17:05,Jul 24 01:48,,327.66,5.66,6.07,571711488.0,167243.5,125.95,0.31,8.24
S1270,Success,11h 53m 51s,36,,22327.0,0.2955,2.17,Jul 23 17:04,Jul 24 04:58,,327.66,14.13,11.51,595972672.0,219365.25,123.59,0.58,11.55
S1272,Success,9h 29m 10s,30,,18618.0,0.2691,0.18,Jul 23 17:02,Jul 24 02:31,,327.66,8.58,6.44,584785024.0,173815.5,104.45,0.84,8.24
S1271,Success,11h 35m 28s,36,,20921.0,0.2778,1.96,Jul 23 17:03,Jul 24 04:38,,327.66,14.13,11.54,595775744.0,214923.39,105.81,0.58,11.55
S1284,Success,7h 21m 58s,24,,16810.0,0.3066,0.06,Jul 23 17:04,Jul 24 00:26,,327.66,5.42,5.36,559958528.0,133503.27,82.32,0.22,8.24
S1285,Success,7h 21m 48s,24,,16227.0,0.2778,0.22,Jul 23 17:03,Jul 24 00:25,,327.66,6.15,6.34,578868800.0,148114.94,55.75,0.24,8.24
S1282,Success,5h 0m 44s,18,,11949.0,0.2461,0.15,Jul 23 17:02,Jul 23 22:02,,327.66,5.74,5.97,569406848.0,176798.55,135.37,0.26,8.24
S1278,Success,6h 21m 5s,21,,16370.0,0.2819,0.13,Jul 23 17:03,Jul 23 23:24,,327.66,7.13,5.66,557806720.0,146475.33,130.63,0.33,8.24
S1283,Success,6h 2m 35s,21,,13958.0,0.2421,0.16,Jul 23 17:03,Jul 23 23:06,,327.66,7.05,5.8,567265024.0,138683.88,80.27,0.54,8.24
S1275,Success,10h 59m 46s,33,,21135.0,0.2799,2.32,Jul 23 17:05,Jul 24 04:05,,327.66,14.13,11.53,596838528.0,225885.67,70.72,0.58,11.55
S1316,Success,4h 55m 50s,15,,9432.0,0.2131,0.2,Jul 23 17:03,Jul 23 21:58,,327.66,5.97,5.94,561928576.0,172648.7,100.09,0.47,8.24
S1310,Success,13h 3m 1s,42,,54321.0,0.631,3.2,Jul 23 17:06,Jul 24 06:09,,327.66,15.95,13.8,637261312.0,331173.66,197.33,0.71,14.02
S1319,Success,3h 48m 20s,12,,9333.0,0.2046,0.16,Jul 23 17:03,Jul 23 20:51,,327.66,7.16,5.7,563476416.0,174912.91,213.83,0.49,8.24
S1313,Success,8h 19m 5s,27,,18996.0,0.2339,8.08,Jul 23 17:04,Jul 24 01:23,,327.66,20.82,15.74,640350848.0,341993.44,141.98,1.79,14.61
S1279,Success,10h 33m 21s,33,,21143.0,0.2825,0.18,Jul 23 17:07,Jul 24 03:40,,327.66,6.21,5.67,575522816.0,140150.05,114.93,0.67,8.24
S1323,Success,4h 15m 52s,15,,9881.0,0.1804,1.86,Jul 23 17:07,Jul 23 21:23,,327.66,10.24,9.18,608917120.0,330125.94,101.9,0.99,8.24
S1311,Success,8h 0m 55s,27,,23054.0,0.3744,1.77,Jul 23 17:05,Jul 24 01:06,,327.66,12.17,10.45,570088448.0,225225.23,225.42,0.26,9.17
S1314,Success,9h 1m 4s,30,,19809.0,0.292,1.91,Jul 23 17:06,Jul 24 02:07,,327.66,8.61,9.69,577833600.0,239105.2,151.33,0.22,8.24
S1315,Success,12h 43m 36s,39,,19535.0,0.2118,2.26,Jul 23 17:07,Jul 24 05:51,,327.66,15.85,9.5,616865792.0,329722.94,96.2,1.54,8.84
S1318,Success,11h 59m 33s,36,,19685.0,0.2722,3.79,Jul 23 17:09,Jul 24 05:09,,327.66,6.17,7.63,577462464.0,234741.2,209.1,0.49,8.24
S1322,Success,5h 58m 13s,18,,16864.0,0.2976,0.1,Jul 23 17:09,Jul 23 23:07,,327.66,5.88,5.26,560642240.0,141122.25,124.54,0.4,8.24
S1317,Success,8h 7m 46s,27,,16931.0,0.282,0.1,Jul 23 17:05,Jul 24 01:13,,327.66,6.9,6.2,566960192.0,149692.36,41.64,0.39,8.24
S1312,Success,13h 22m 16s,42,,119509.0,1.546,3.93,Jul 23 17:10,Jul 24 06:32,,327.66,15.77,9.65,640979904.0,196517.55,158.9,0.58,11.55
S1320,Success,8h 53m 14s,27,,29960.0,0.3502,3.74,Jul 23 17:06,Jul 24 01:59,,327.66,23.27,12.61,677664320.0,302019.41,136.66,1.32,14.62
