Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
S0465,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0466,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0467,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0468,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0469,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0470,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0471,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0472,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0473,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0474,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0475,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0476,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0477,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0478,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0479,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0480,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0481,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0482,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0483,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0484,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0485,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:43,N/A,
S0486,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0705,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0706,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0707,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0708,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0709,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0710,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0711,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0712,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0713,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0714,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,Maximum iteration location Cell WSEL ERROR ITERATIONS
S0715,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0716,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0717,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0718,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0719,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0720,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0721,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0722,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0723,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0724,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0725,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0726,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0727,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0728,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0729,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0730,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0731,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0732,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0733,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0734,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0735,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0736,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0737,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0738,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0739,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0740,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0741,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0742,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0743,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0744,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0745,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0746,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0747,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0748,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0749,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0750,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0751,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0752,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0753,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0754,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0755,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0756,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0757,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0758,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0759,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0760,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0761,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0762,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0763,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0764,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0765,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0766,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0767,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0768,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0769,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0770,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0771,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0772,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0773,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0774,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0775,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0776,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0977,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0978,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0979,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0980,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0981,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0982,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0983,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0984,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0985,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0986,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0987,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0988,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0989,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0990,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0991,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0992,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0993,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,Maximum iteration location Cell WSEL ERROR ITERATIONS
S0994,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0995,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0996,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0997,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0998,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0999,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S1000,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S1001,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S1002,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S1003,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S1004,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S1005,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
