Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
clean_SS1628_PP396_SM2_BF1_Base,Success,15h 38m 51s,48,,39146.0,0.4664,0.5,Dec 30 16:06,Dec 31 07:45,,327.66,79.28,53.28,553798336.0,138929.95,,,,4.83
clean_SS1628_PP436_SM5_BF1_Base,Success,16h 53m 28s,51,,39007.0,0.4661,1.11,Dec 30 16:28,Dec 31 09:21,,327.66,79.28,53.29,553798336.0,139042.64,,,,2.72
clean_SS1628_PP454_SM2_BF1_Base,Success,15h 57m 38s,48,,39136.0,0.4654,0.14,Dec 30 16:22,Dec 31 08:19,,327.66,50.77,70.03,553798336.0,138158.36,,,,4.95
clean_SS1635_PP190_SM4_BF1_Base,Success,19h 30m 26s,60,,35730.0,0.2318,3.23,Dec 30 16:02,Dec 31 11:32,,327.66,79.7,45.56,610112384.0,304345.38,,,,2.8
clean_SS1636_PP147_SM2_BF1_Base,Success,13h 22m 35s,42,,28750.0,0.3698,0.85,Dec 30 15:48,Dec 31 05:10,,327.66,22.25,106.39,562198656.0,203741.05,,,,1.14
clean_SS1636_PP199_SM3_BF1_Base,Success,12h 10m 44s,39,,27596.0,0.3542,0.85,Dec 30 15:57,Dec 31 04:07,,327.66,11.12,56.34,562452736.0,203658.44,,,,1.59
clean_SS1636_PP207_SM1_BF1_Base,Success,13h 11m 35s,42,,27849.0,0.3598,0.84,Dec 30 15:22,Dec 31 04:34,,327.66,31.6,53.29,561502336.0,203873.25,,,,0.99
clean_SS1628_PP467_SM3_BF1_Base,Success,15h 2m 37s,48,,37615.0,0.4457,0.38,Dec 30 15:55,Dec 31 06:58,,327.66,79.28,106.38,553798336.0,138217.12,,,,2.84
clean_SS1636_PP191_SM2_BF1_Base,Success,12h 9m 28s,39,,27458.0,0.3551,0.84,Dec 30 15:38,Dec 31 03:47,,327.66,31.81,53.31,562072768.0,203743.78,,,,0.91
clean_SS1635_PP486_SM2_BF1_Base,Success,22h 29m 44s,69,,37979.0,0.2461,3.23,Dec 30 15:52,Dec 31 14:22,,327.66,79.3,53.32,610710848.0,304337.16,,,,2.46
clean_SS1635_PP367_SM1_BF1_Base,Success,20h 40m 49s,63,,37564.0,0.2429,3.24,Dec 30 16:15,Dec 31 12:56,,327.66,79.3,45.52,610893888.0,304382.25,,,,4.64
