Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
S1061,Success,8h 0m 59s,27,,20710.,0.2751,2.44,Jul 23 16:58,Jul 24 00:59,
S1062,Success,5h 19m 45s,18,,12986.,0.2253,0.87,Jul 23 16:50,Jul 23 22:10,
S1063,Success,11h 1m 0s,36,,19740.,0.2599,0.59,Jul 23 16:59,Jul 24 04:00,
S1064,Success,6h 27m 39s,21,,16952.,0.2766,0.14,Jul 23 16:52,Jul 23 23:20,
S1065,Success,5h 12m 21s,18,,12876.,0.2202,0.73,Jul 23 16:50,Jul 23 22:03,
S1066,Success,4h 9m 57s,15,,9917.,0.1905,0.15,Jul 23 16:51,Jul 23 21:01,
S1067,Success,7h 9m 20s,24,,20060.,0.3221,0.19,Jul 23 17:01,Jul 24 00:10,
S1238,Success,11h 53m 39s,36,,22408.,0.2973,2.31,Jul 23 17:03,Jul 24 04:56,
S1239,Success,7h 45m 47s,24,,21584.,0.2961,1.63,Jul 23 16:58,Jul 24 00:44,
S1240,Success,7h 3m 24s,24,,17415.,0.2526,0.74,Jul 23 16:57,Jul 24 00:00,
S1241,Success,9h 32m 4s,30,,23397.,0.3090,2.35,Jul 23 17:03,Jul 24 02:35,
S1242,Success,4h 21m 45s,15,,10059.,0.2140,1.37,Jul 23 16:55,Jul 23 21:16,
S1243,Success,6h 34m 7s,21,,16952.,0.2711,0.14,Jul 23 16:57,Jul 23 23:31,
S1244,Success,5h 19m 3s,18,,13494.,0.2469,0.89,Jul 23 16:55,Jul 23 22:14,
S1245,Success,8h 2m 14s,27,,20811.,0.2760,2.31,Jul 23 17:02,Jul 24 01:04,
S1246,Success,9h 51m 39s,30,,22240.,0.3267,1.10,Jul 23 17:00,Jul 24 02:51,
S1247,Success,8h 8m 40s,27,,15250.,0.2859,0.63,Jul 23 16:55,Jul 24 01:03,
S1248,Success,12h 24m 15s,39,,24802.,0.3189,0.37,Jul 23 17:01,Jul 24 05:25,
S1249,Success,9h 13m 12s,30,,17013.,0.2891,0.15,Jul 23 16:57,Jul 24 02:10,
S1250,Success,10h 22m 6s,33,,18299.,0.2504,1.30,Jul 23 16:56,Jul 24 03:18,
S1251,Success,7h 18m 51s,24,,17876.,0.2585,0.64,Jul 23 16:58,Jul 24 00:17,
S1252,Success,4h 4m 22s,15,,9907.,0.2274,0.27,Jul 23 16:55,Jul 23 21:00,
S1253,Success,5h 11m 28s,18,,12529.,0.2396,0.12,Jul 23 16:54,Jul 23 22:05,
S1254,Success,8h 40m 46s,27,,28579.,0.3534,1.54,Jul 23 17:02,Jul 24 01:43,
S1255,Success,6h 36m 29s,21,,17851.,0.2932,0.17,Jul 23 16:57,Jul 23 23:34,
S1256,Success,8h 26m 51s,27,,24460.,0.3227,2.19,Jul 23 17:03,Jul 24 01:30,
S1257,Success,5h 56m 47s,18,,14252.,0.2762,0.18,Jul 23 17:00,Jul 23 22:57,
S1258,Success,7h 22m 48s,24,,14741.,0.2369,0.19,Jul 23 17:01,Jul 24 00:24,
S1259,Success,9h 37m 17s,30,,21253.,0.3112,0.17,Jul 23 17:04,Jul 24 02:41,
S1260,Success,9h 33m 9s,30,,20108.,0.3030,0.16,Jul 23 17:03,Jul 24 02:36,
S1261,Success,7h 14m 15s,24,,16998.,0.2878,0.14,Jul 23 17:01,Jul 24 00:15,
S1262,Success,9h 17m 38s,30,,21639.,0.2867,2.47,Jul 23 17:04,Jul 24 02:22,
S1263,Success,7h 53m 29s,24,,20963.,0.3143,0.21,Jul 23 17:01,Jul 24 00:55,
S1264,Success,5h 58m 3s,18,,14349.,0.2475,0.17,Jul 23 16:58,Jul 23 22:56,
S1265,Success,8h 1m 7s,27,,13393.,0.2241,1.07,Jul 23 16:58,Jul 24 00:59,
S1266,Success,10h 21m 17s,33,,21488.,0.2934,0.16,Jul 23 17:03,Jul 24 03:25,
S1267,Success,8h 23m 16s,27,,17175.,0.2824,0.11,Jul 23 17:00,Jul 24 01:24,
S1268,Success,10h 38m 58s,33,,20195.,0.2740,0.22,Jul 23 17:03,Jul 24 03:42,
S1269,Success,4h 53m 0s,15,,9312.,0.2033,0.15,Jul 23 16:58,Jul 23 21:51,
S1270,Success,11h 53m 51s,36,,22327.,0.2955,2.17,Jul 23 17:04,Jul 24 04:58,
S1271,Success,11h 35m 28s,36,,20921.,0.2778,1.96,Jul 23 17:03,Jul 24 04:38,
S1272,Success,9h 29m 10s,30,,18618.,0.2691,0.18,Jul 23 17:02,Jul 24 02:31,
S1273,Success,7h 27m 52s,24,,14060.,0.2247,0.17,Jul 23 16:59,Jul 24 00:27,
S1274,Success,5h 23m 19s,18,,9651.,0.1745,0.16,Jul 23 16:58,Jul 23 22:21,
S1275,Success,10h 59m 46s,33,,21135.,0.2799,2.32,Jul 23 17:05,Jul 24 04:05,
S1276,Success,8h 40m 23s,27,,16988.,0.2606,0.12,Jul 23 17:00,Jul 24 01:40,
