Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
SS0123_PP217_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 10:11,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0126_PP071_SM1_BF1_Base,Success,15h 13m 45s,48,,42521.,0.3915,3.08,Dec 30 15:48,Dec 31 07:02,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0127_PP213_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:56,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP002_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 13:25,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP046_SM3_BF1_Base,Success,17h 20m 22s,54,,37701.,0.3796,0.38,Dec 30 15:56,Dec 31 09:17,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP050_SM1_BF1_Base,Success,16h 15m 9s,51,,36736.,0.3704,0.61,Dec 30 16:05,Dec 31 08:21,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP062_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 10:23,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP074_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 06:40,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP099_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:19,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0128_PP109_SM4_BF1_Base,Success,15h 33m 16s,48,,36458.,0.3687,0.79,Dec 30 15:49,Dec 31 07:22,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
